itemLabel,Alias 1,Native Name 1,Native Name 2,Native Name 3,Native Name 4,Native Name 5,Native Name 6,Native Name 7,Native Name 8,Native Name 9,Native Name 10
National Bank of the Republic of Abkhazia,,Аԥсны Аҳәынҭқарра Амилаҭтә Банк,Национальный банк Республики Абхазия,,,,,,,,
Da Afghanistan Bank,DAB,بانک مرکزی افغانستان,د افغانستان بانک,,,,,,,,
Bank of Albania,,Banka e Shqipërisë,,,,,,,,,
Bank of Algeria,,Banque d'Algérie,بنك الجزائر,,,,,,,,
National Bank of Angola,,Banco Nacional de Angola,,,,,,,,,
Eastern Caribbean Central Bank,,,,,,,,,,,
Central Bank of Argentina,,Banco Central de la República Argentina,,,,,,,,,
Central Bank of Armenia,,Հայաստանի Կենտրոնական Բանկ,,,,,,,,,
Central Bank of Aruba,,Centrale Bank van Aruba,Banco Central di Aruba,,,,,,,,
Reserve Bank of Australia,,,,,,,,,,,
European Central Bank,,Oesterreichische Nationalbank,,,,,,,,,
Central Bank of Azerbaijan,,Azərbaycan Mərkəzi Bankı,,,,,,,,,
Central Bank of The Bahamas,,,,,,,,,,,
Central Bank of Bahrain,,مصرف البحرين المركزي,,,,,,,,,
Bangladesh Bank,,বাংলাদেশ ব্যাংক,,,,,,,,,
Central Bank of Barbados,,,,,,,,,,,
National Bank of the Republic of Belarus,,Нацыянальны банк Рэспублікі Беларусь,Национальный банк Республики Беларусь,,,,,,,,
National Bank of Belgium,,Nationale Bank van België,Banque nationale de Belgique,Belgische Nationalbank,,,,,,,
Central Bank of Belize,,,,,,,,,,,
Central Bank of West African States,,Banque Centrale des États de l'Afrique de l'Ouest,,,,,,,,,
Bermuda Monetary Authority,,,,,,,,,,,
Royal Monetary Authority of Bhutan,,བྲུག་རྒྱལ་གཞུང་དངུལ་ལས་དབང་འཛིན་,,,,,,,,,
Central Bank of Bolivia,,Banco Central de Bolivia,,,,,,,,,
Central Bank of Bosnia and Herzegovina,,Centralna Banka Bosne i Hercegovine,Централна банка Босне и Херцеговине,,,,,,,,
Bank of Botswana,,Banka ya Botswana,,,,,,,,,
Central Bank of Brazil,,Banco Central do Brasil,,,,,,,,,
Brunei Darussalam Central Bank,,Bank Pusat Brunei Darussalam,,,,,,,,,
Bulgarian National Bank,,Българска народна банка,,,,,,,,,
Bank of the Republic of Burundi,,Banque de la République du Burundi,Ibanki ya Republika y'UBurundi,,,,,,,,
National Bank of Cambodia,,ធនាគារជាតិ នៃ កម្ពុជា,,,,,,,,,
Bank of Central African States,,Banque des États de l'Afrique Centrale,,,,,,,,,
Bank of Canada,,Banque du Canada,,,,,,,,,
Bank of Cape Verde,,Banco de Cabo Verde,,,,,,,,,
Cayman Islands Monetary Authority,,,,,,,,,,,
Central Bank of Chile,,Banco Central de Chile,,,,,,,,,
People's Bank of China,,中国人民銀行,,,,,,,,,
Bank of the Republic,,Banco de la República,,,,,,,,,
Central Bank of the Comoros,,Banque Centrale des Comores,البنك المركزي لجزر القمر,,,,,,,,
Central Bank of the Congo,,Banque Centrale du Congo,,,,,,,,,
Central Bank of Costa Rica,,Banco Central de Costa Rica,,,,,,,,,
Croatian National Bank,,Hrvatska narodna banka,,,,,,,,,
Central Bank of Cuba,,Banco Central de Cuba,,,,,,,,,
Central Bank of Curaçao and Sint Maarten,,Centrale bank van Curaçao en Sint Maarten,Banko Sentral di Kòrsou i Sint Maarten,,,,,,,,
Central Bank of Cyprus,,Κεντρική Τράπεζα της Κύπρου,Kıbrıs Merkez Bankası,,,,,,,,
Central Bank of the Turkish Republic of Northern Cyprus,,Kuzey Kıbrıs Türk Cumhuriyeti Merkez Bankası,,,,,,,,,
Czech National Bank,,Česká národní banka,,,,,,,,,
Danmarks Nationalbank,,,,,,,,,,,
Central Bank of Djibouti,,Banque Centrale de Djibouti,البنك المركزي الجيبوتي,,,,,,,,
Central Bank of the Dominican Republic,,Banco Central de la República Dominicana,,,,,,,,,
East Timor Central Bank,,Banco Central de Timor-Leste,Banku Sentrál Timór Lorosa'e,,,,,,,,
Central Bank of Ecuador,,Banco Central del Ecuador,,,,,,,,,
Central Bank of Egypt,,البنك المركزي المصري,,,,,,,,,
Central Reserve Bank of El Salvador,,Banco Central de Reserva de El Salvador,,,,,,,,,
Bank of Eritrea,,ባንክ ኤርትረ,,,,,,,,,
Bank of Estonia,,Eesti Pank,,,,,,,,,
Central Bank of Eswatini,,Umntsholi Wemaswati,,,,,,,,,
National Bank of Ethiopia,,የኢትዮጵያ ብሔራዊ ባንክ,,,,,,,,,
Danmarks Nationalbank,,Danmarkar Tjóðarbanki,,,,,,,,,
Reserve Bank of Fiji,,Maroroi Baqe ni Viti,,,,,,,,,
Bank of Finland,,Suomen Pankki,Finlands Bank,,,,,,,,
Bank of France,,Banque de France,,,,,,,,,
Central Bank of The Gambia,,,,,,,,,,,
Deutsche Bundesbank,,,,,,,,,,,
National Bank of Georgia,,საქართველოს ეროვნული ბანკი,,,,,,,,,
Bank of Ghana,,,,,,,,,,,
Bank of Greece,,Τράπεζα της Ελλάδος,,,,,,,,,
Danmarks Nationalbank,,Naalagaaffiup Aningaaseriviutaa,,,,,,,,,
Bank of Guatemala,,Banco de Guatemala,,,,,,,,,
Central Bank of the Republic of Guinea,,Banque Centrale de la République de Guinée,,,,,,,,,
Bank of Guyana,,,,,,,,,,,
Bank of the Republic of Haiti,,Banque de la République d'Haïti, Bank Repiblik Ayiti,,,,,,,,
Hong Kong Monetary Authority,,香港金融管理局,,,,,,,,,
Central Bank of Honduras,,Banco Central de Honduras,,,,,,,,,
Hungarian National Bank,,Magyar Nemzeti Bank,,,,,,,,,
Central Bank of Iceland,,Seðlabanki Íslands,,,,,,,,,
Reserve Bank of India,,भारतीय रिज़र्व बैंक,,,,,,,,,
Bank Indonesia,,,,,,,,,,,
Central Bank of the Islamic Republic of Iran,,بانک مرکزی ایران,,,,,,,,,
Central Bank of Iraq,,البنك المركزي العراقي,بانکی ناوەندی عێراق,,,,,,,,
Central Bank of Ireland,,Banc Ceannais na hÉireann,,,,,,,,,
Bank of Israel,,בנק ישראל,بنك إسرائيل,,,,,,,,
Bank of Italy,,Banca d'Italia,,,,,,,,,
Bank of Jamaica,,,,,,,,,,,
Bank of Japan,,日本銀行,,,,,,,,,
Central Bank of Jordan,,البنك المركزي الاردني,,,,,,,,,
National Bank of Kazakhstan,,Қазақстан Ұлттық Банкі,Qazaqstan Ūlttyq Bankı,Национальный банк Казахстана,,,,,,,
Central Bank of Kenya,,Benki Kuu ya Kenya,,,,,,,,,
Central Bank of the Democratic People's Republic of Korea,,조선민주주의인민공화국중앙은행,,,,,,,,,
Bank of Korea,,한국은행,,,,,,,,,
Central Bank of Kosovo,,Banka Qendrore e Republikës së Kosovës,Centralna banka Republike Kosova,Централна банка Републике Косова,,,,,,,
Central Bank of Kuwait,,بنك الكويت المركزي,,,,,,,,,
National Bank of the Kyrgyz Republic,,Кыргыз Республикасынын Улуттук банкы,Национальный банк Кыргызской Республики,,,,,,,,
Bank of the Lao People's Democratic Republic,,ທະນາຄານ ແຫ່ງ ສ. ປ. ປ. ລາວ,,,,,,,,,
Bank of Latvia,,Latvijas Banka,,,,,,,,,
Banque du Liban,,مصرف لبنان,,,,,,,,,
Central Bank of Lesotho,,Banka e Kholo ea Lesotho,,,,,,,,,
Central Bank of Liberia,,,,,,,,,,,
Central Bank of Libya,,مصرف ليبيا المركزي,,,,,,,,,
National Bank of Liechtenstein,,Liechtensteinische Landesbank,,,,,,,,,
Bank of Lithuania,,Lietuvos Bankas,,,,,,,,,
Central Bank of Luxembourg,,Banque centrale du Luxembourg,Luxemburger Zentralbank,Zentralbank vu Lëtzebuerg,,,,,,,
Monetary Authority of Macao,,澳門金融管理局,Autoridade Monetária de Macau,,,,,,,,
Central Bank of Madagascar,,Banque Centrale de Madagascar,Banky Foiben'i Madagasikara,,,,,,,,
Reserve Bank of Malawi,,,,,,,,,,,
Central Bank of Malaysia,,Bank Negara Malaysia,,,,,,,,,
Maldives Monetary Authority,,,,,,,,,,,
Central Bank of Malta,,Bank Ċentrali ta’ Malta,,,,,,,,,
Central Bank of Mauritania,,Banque Centrale de Mauritanie,البنك المركزي الموريتاني,,,,,,,,
Bank of Mauritius,,Banque de Maurice,,,,,,,,,
Bank of Mexico,,Banco de México,,,,,,,,,
National Bank of Moldova,,Banca Națională a Moldovei,,,,,,,,,
Bank of Mongolia,,Монголбанк,,,,,,,,,
Central Bank of Montenegro,,Centralna Banka Crne Gore / Централна Банка Црне Горе,,,,,,,,,
Bank Al-Maghrib,,بنك المغرب,,,,,,,,,
Bank of Mozambique,,Banco de Moçambique,,,,,,,,,
Central Bank of Myanmar,,မြန်မာနိုင်ငံတော်ဗဟိုဘဏ်,,,,,,,,,
Bank of Namibia,,,,,,,,,,,
Nepal Rastra Bank,,नेपाल राष्ट्र बैंक,,,,,,,,,
De Nederlandsche Bank,,,,,,,,,,,
Overseas Issuing Institute,,Institut d'émission d'outre-mer,,,,,,,,,
Reserve Bank of New Zealand,,Te Pūtea Matua,,,,,,,,,
Central Bank of Nicaragua,,Banco Central de Nicaragua,,,,,,,,,
Central Bank of Nigeria,,Babban Bankin Najeriya,Ilé Ìfowópamọ́-àgbà tí Nàìjíríà,,,,,,,,
National Bank of North Macedonia,,Народна банка на Република Северна Македонија,Banka Kombëtare e Republikës së Maqedonisë së Veriut,,,,,,,,
Norges Bank,,Noregs Bank,Norgga Báŋku,,,,,,,,
Central Bank of Oman,,البنك المركزي العماني,,,,,,,,,
State Bank of Pakistan,,بینک دولت پاکستان,,,,,,,,,
Palestine Monetary Authority,,سلطة النقد الفلسطينية,,,,,,,,,
Bank of Papua New Guinea,,Beng bilong Papua Niugini,,,,,,,,,
Central Bank of Paraguay,,Banco Central del Paraguay,,,,,,,,,
Central Reserve Bank of Peru,,Banco Central de Reserva del Perú,,,,,,,,,
Bangko Sentral ng Pilipinas,,,,,,,,,,,
National Bank of Poland,,Narodowy Bank Polski,,,,,,,,,
Bank of Portugal,,Banco de Portugal,,,,,,,,,
Qatar Central Bank,,مصرف قطر المركزي,,,,,,,,,
National Bank of Romania,,Banca Națională a României,,,,,,,,,
Central Bank of Russia,,Центральный банк Российской Федерации,,,,,,,,,
National Bank of Rwanda,,Banque Nationale du Rwanda,Banki Nkuru y'u Rwanda,,,,,,,,
Central Bank of Samoa,,Faletupe Tutotonu o Sāmoa,,,,,,,,,
Central Bank of the Republic of San Marino,,Banca Centrale della Repubblica di San Marino,,,,,,,,,
Central Bank of São Tomé and Príncipe,,Banco Central de São Tomé e Príncipe,,,,,,,,,
Saudi Central Bank,,البنك المركزي السعودي,,,,,,,,,
National Bank of Serbia,,Народна банка Србије,Narodna banka Srbije,,,,,,,,
Central Bank of Seychelles,,Banque centrale des Seychelles,Labank santral Sesel,,,,,,,,
Bank of Sierra Leone,,,,,,,,,,,
Monetary Authority of Singapore,,新加坡金融管理局,Penguasa Kewangan Singapura,சிங்கப்பூர் நாணய ஆணையம்,,,,,,,
Central Bank of Curaçao and Sint Maarten,,Centrale bank van Curaçao en Sint Maarten,,,,,,,,,
National Bank of Slovakia,,Národná banka Slovenska,,,,,,,,,
Bank of Slovenia,,Banka Slovenije,,,,,,,,,
Central Bank of Solomon Islands,,,,,,,,,,,
Central Bank of Somalia,,Bankiga Dhexe ee Soomaaliya,البنك المركزي الصومالي,,,,,,,,
Bank of Somaliland,,Baanka Somaliland,البنك المركزي صوماليلاند,,,,,,,,
South African Reserve Bank,,iBhange-ngodla laseNingizimu Afrika,iBhanki enguVimba yoMzantsi Afrika ,Suid-Afrikaanse Reserwebank,Banka ya Risefe ya Afrika Borwa,Banka-kgolo ya Aforika Borwa,Banka ya Sesiu ya Afrika Borwa,Banginkulu ya Afrika-Dzonga,liBhangi lesiLulu leNingizimu Afrika,Bannga ya Vhukati ya Afurika Tshipembe,iBulungelo-mali eliKhulu leSewula Afrika
National Bank of the Republic of South Ossetia,,Респуликӕ Хуссар Ирыстоны Националон банк,Национальный банк Республики Южная Осетия,,,,,,,,
Bank of South Sudan,,,,,,,,,,,
Bank of Spain,,Banco de España,,,,,,,,,
Central Bank of Sri Lanka,,ශ්‍රී ලංකා මහ බැංකුව,இலங்கை மத்திய வங்கி,,,,,,,,
Central Bank of Sudan,,بنك السودان المركزي,,,,,,,,,
Central Bank of Suriname,,Centrale Bank van Suriname,,,,,,,,,
Sveriges Riksbank,,,,,,,,,,,
Swiss National Bank,,Schweizerische Nationalbank,Banque nationale suisse,Banca nazionale svizzera,Banca naziunala svizra,,,,,,
Central Bank of Syria,,مصرف سورية المركزي,,,,,,,,,
Central Bank of the Republic of China (Taiwan),CBC,中華民國中央銀行,,,,,,,,,
National Bank of Tajikistan,,Бонки миллии Тоҷикистон,Национальный банк Таджикистана,,,,,,,,
Bank of Tanzania,,Benki Kuu ya Tanzania,,,,,,,,,
Bank of Thailand,,ธนาคารแห่งประเทศไทย,,,,,,,,,
National Reserve Bank of Tonga,,Pangikē Pule Fakafonua ʻo Tonga,,,,,,,,,
Transnistrian Republican Bank,,Банка Републиканэ Нистрянэ,Приднестровский Республиканский Банк,Придністровський Республіканський Банк,,,,,,,
Central Bank of Trinidad and Tobago,,,,,,,,,,,
Central Bank of Tunisia,,البنك المركزي التونسي,Banque Centrale de Tunisie,,,,,,,,
Central Bank of the Republic of Turkey,,Türkiye Cumhuriyet Merkez Bankası,,,,,,,,,
Central Bank of Turkmenistan,,Türkmenistanyň Merkezi Banky,,,,,,,,,
Bank of Uganda,,Benki Kuu ya Uganda,,,,,,,,,
National Bank of Ukraine,,Національний банк України,,,,,,,,,
Central Bank of the United Arab Emirates,,مصرف الإمارات العربية المتحدة المركزي,,,,,,,,,
Bank of England,,,,,,,,,,,
Federal Reserve,,,,,,,,,,,
Central Bank of Uruguay,,Banco Central del Uruguay,,,,,,,,,
Central Bank of the Republic of Uzbekistan,,O‘zbekiston Respublikasi Markaziy Banki,Ўзбекистон Республикаси Марказий Банки,,,,,,,,
Reserve Bank of Vanuatu,,Reserve Bank blong Vanuatu,,,,,,,,,
Central Bank of Venezuela,,Banco Central de Venezuela,,,,,,,,,
State Bank of Vietnam,,Ngân hàng nhà nước Việt Nam,,,,,,,,,
Central Bank of Yemen,,البنك المركزي اليمني,,,,,,,,,
Bank of Zambia,,,,,,,,,,,
Reserve Bank of Zimbabwe,,,,,,,,,,,